Date,Open,High,Low,Close,Adj Close,Volume
30-12-1985,11.194445,11.583333,11.194445,11.5,4.431578,2350800
31-12-1985,11.555555,11.722222,11.555555,11.611111,4.474395,2736000
02-01-1986,11.611111,11.75,11.5,11.666667,4.495804,2585600
03-01-1986,11.75,11.888889,11.75,11.833333,4.560028,2228600
06-01-1986,11.833333,11.888889,11.777778,11.833333,4.560028,1567200
07-01-1986,11.833333,11.861111,11.75,11.805555,4.549325,2273400
08-01-1986,11.805555,11.805555,11.166667,11.166667,4.303127,3289400
09-01-1986,11.166667,11.25,10.972222,11.25,4.335239,2930400
10-01-1986,11.25,11.444445,10.611111,10.666667,4.110449,2545400
13-01-1986,10.666667,10.888889,10.611111,10.777778,4.153266,4237200
14-01-1986,10.777778,10.805555,10.333333,10.444445,4.024815,5530400
15-01-1986,10.472222,10.833333,10.472222,10.833333,4.174674,4770000
16-01-1986,10.833333,10.972222,10.666667,10.666667,4.110449,3387800
17-01-1986,10.666667,10.75,10.444445,10.527778,4.056928,3517200
20-01-1986,10.527778,10.75,10.416667,10.75,4.142561,2482200
21-01-1986,10.75,10.888889,10.694445,10.861111,4.185377,2656200
22-01-1986,10.833333,10.833333,10.472222,10.555555,4.067631,2035800
23-01-1986,10.555555,10.75,10.388889,10.416667,4.014112,4300400
24-01-1986,10.416667,10.611111,10.388889,10.583333,4.078336,4065200
27-01-1986,10.583333,10.638889,10.222222,10.388889,4.003405,4443200
28-01-1986,10.388889,10.583333,10.277778,10.583333,4.078336,6583400
29-01-1986,10.583333,10.694445,10.472222,10.611111,4.089038,5625000
30-01-1986,10.611111,10.777778,10.555555,10.611111,4.089038,3591200
31-01-1986,10.611111,10.861111,10.555555,10.722222,4.131857,2686400
03-02-1986,10.722222,10.805555,10.555555,10.694445,4.121154,5220000
04-02-1986,10.694445,10.694445,10.166667,10.416667,4.064891,3807200
05-02-1986,10.416667,10.444445,10.194445,10.277778,4.010692,3589400
06-02-1986,10.333333,10.527778,10.333333,10.361111,4.043212,3877400
07-02-1986,10.361111,10.666667,10.25,10.666667,4.162446,4334600
10-02-1986,10.694445,11,10.694445,11,4.292524,3369800
11-02-1986,11,11,10.805555,10.888889,4.249166,2660400
12-02-1986,10.916667,11.111111,10.916667,11.111111,4.335882,2898200
13-02-1986,11.111111,11.111111,10.916667,11.083333,4.325042,1756200
14-02-1986,11.083333,11.111111,11.027778,11.111111,4.335882,1467000
18-02-1986,11.111111,11.194445,10.888889,10.972222,4.281683,3693600
19-02-1986,10.972222,11,10.638889,10.833333,4.227486,4426400
20-02-1986,10.833333,11,10.694445,11,4.292524,2270000
21-02-1986,11.027778,11.25,11.027778,11.111111,4.335882,4635000
24-02-1986,11.138889,11.472222,11.138889,11.416667,4.455119,5400000
25-02-1986,11.416667,11.555555,11.25,11.25,4.390081,2893400
26-02-1986,11.361111,11.75,11.361111,11.75,4.585196,3910800
27-02-1986,11.75,11.916667,11.722222,11.888889,4.639395,3165600
28-02-1986,11.888889,12,11.861111,11.861111,4.628557,3559400
03-03-1986,11.861111,11.916667,11.611111,11.75,4.585196,3011400
04-03-1986,11.75,12,11.722222,11.777778,4.596036,3274200
05-03-1986,11.777778,11.805555,11.666667,11.777778,4.596036,1750400
06-03-1986,11.833333,11.972222,11.833333,11.916667,4.650233,2070200
07-03-1986,11.972222,12.111111,11.972222,12.111111,4.726113,2319200
10-03-1986,12.111111,12.277778,12.055555,12.25,4.78031,1316000
11-03-1986,12.222222,12.222222,11.805555,11.916667,4.650233,3257400
12-03-1986,11.916667,12.194445,11.888889,11.944445,4.661075,3320000
13-03-1986,11.916667,11.916667,11.666667,11.75,4.585196,3025800
14-03-1986,11.777778,12,11.777778,11.861111,4.628557,2113200
17-03-1986,11.861111,11.888889,11.666667,11.805555,4.606876,1717200
18-03-1986,11.805555,12.222222,11.805555,12.138889,4.736953,2163000
19-03-1986,12.138889,12.277778,12.138889,12.222222,4.769472,1635600
20-03-1986,12.25,12.611111,12.25,12.611111,4.921228,2235600
21-03-1986,12.611111,12.75,12.277778,12.277778,4.791152,2388600
24-03-1986,12.277778,12.555555,11.944445,12.444445,4.856189,1864800
25-03-1986,12.416667,12.416667,12.166667,12.25,4.78031,2182800
26-03-1986,12.25,12.472222,12.25,12.388889,4.834508,1782800
27-03-1986,12.666667,12.833333,12.666667,12.722222,4.964585,2151200
31-03-1986,12.722222,12.833333,12.555555,12.666667,4.942906,1615400
01-04-1986,12.583333,12.583333,12.305555,12.444445,4.856189,2762400
02-04-1986,12.361111,12.361111,12.194445,12.305555,4.801991,1903800
03-04-1986,12.305555,12.388889,11.777778,12.055555,4.704435,3051200
04-04-1986,12.055555,12.055555,11.944445,12,4.682754,3419400
07-04-1986,12,12.194445,11.888889,12.055555,4.704435,1498800
08-04-1986,12.166667,12.472222,12.166667,12.416667,4.845347,1552800
09-04-1986,12.416667,12.555555,12.416667,12.555555,4.899548,1769400
